,time,open,high,low,close,volume
0,1641168000000,1.37754,1.377895,1.361405,1.361985,6800481.040045
1,1641171600000,1.361985,1.36784,1.360235,1.367135,2946871.90556
2,1641175200000,1.367135,1.367135,1.35129,1.36082,5631808.14766
3,1641178800000,1.36082,1.362475,1.34452,1.350475,1949463.989575
4,1641182400000,1.350475,1.35433,1.346285,1.349165,3063292.961215
5,1641186000000,1.349165,1.360855,1.34466,1.35611,3045401.32105
6,1641189600000,1.35611,1.35655,1.34738,1.34863,1877746.222325
7,1641193200000,1.34863,1.3531,1.346635,1.35234,1632734.7056
8,1641196800000,1.35234,1.361765,1.352,1.35593,1919074.257565
9,1641200400000,1.35593,1.359165,1.3483,1.357785,1769741.043555
10,1641204000000,1.357785,1.366495,1.35718,1.36159,2434189.38365
11,1641207600000,1.36159,1.373825,1.36159,1.370535,2545619.951265
12,1641211200000,1.370535,1.37436,1.358505,1.360415,2872525.295985
13,1641214800000,1.360415,1.37154,1.360195,1.365845,3049499.916395
14,1641218400000,1.365845,1.37174,1.35875,1.360215,3815186.10715
15,1641222000000,1.360215,1.367605,1.35,1.35348,3527794.05984
16,1641225600000,1.35348,1.356775,1.3253,1.33299,8931496.919385
17,1641229200000,1.33299,1.34381,1.33035,1.33898,3158353.295875
18,1641232800000,1.33898,1.346355,1.33793,1.341035,1980861.56725
19,1641236400000,1.341035,1.34675,1.3288,1.329975,2459054.11877
20,1641240000000,1.329615,1.332125,1.311,1.319315,6223717.43544
21,1641243600000,1.319285,1.32904,1.312,1.32473,5537640.057855
22,1641247200000,1.32473,1.33064,1.32158,1.32288,2565957.880375
23,1641250800000,1.32288,1.328995,1.31693,1.319675,5153525.90235
24,1641254400000,1.319675,1.324545,1.2989,1.305555,16272169.74037
25,1641258000000,1.305555,1.31044,1.29756,1.30189,7138691.96823
26,1641261600000,1.30189,1.31181,1.29514,1.306135,3968859.740185
27,1641265200000,1.306125,1.31829,1.30191,1.31418,2165460.423345
28,1641268800000,1.31418,1.31752,1.305885,1.30876,3331193.786265
29,1641272400000,1.30876,1.31861,1.30654,1.31363,2612000.99516
30,1641276000000,1.31363,1.317205,1.310005,1.31511,2465220.90588
31,1641279600000,1.31511,1.324695,1.31247,1.324465,2909241.196945
32,1641283200000,1.324465,1.333485,1.319705,1.32249,3988646.56388
33,1641286800000,1.32249,1.329105,1.318915,1.3212,1993581.33322
34,1641290400000,1.3212,1.334225,1.32103,1.33239,2955942.458935
35,1641294000000,1.332455,1.342355,1.331535,1.340545,4018250.58824
36,1641297600000,1.340545,1.34331,1.327875,1.33894,4121400.75474
37,1641301200000,1.33894,1.34472,1.33175,1.342655,4654706.637805
38,1641304800000,1.342685,1.34992,1.33711,1.346675,4746893.804925
39,1641308400000,1.346675,1.351825,1.33388,1.336605,3061613.849195
40,1641312000000,1.336605,1.341035,1.329125,1.33631,2901222.448445
41,1641315600000,1.33631,1.35101,1.334455,1.337155,5074741.69604
42,1641319200000,1.337155,1.34572,1.301385,1.308055,9558623.50206
43,1641322800000,1.308025,1.329785,1.30077,1.3166,8395305.01215
44,1641326400000,1.3166,1.327795,1.312795,1.31971,3559971.197095
45,1641330000000,1.31971,1.32322,1.313285,1.3205,2979045.990305
46,1641333600000,1.3205,1.32787,1.314585,1.327635,1838001.283915
47,1641337200000,1.327635,1.32776,1.3069,1.309105,3409301.595365
48,1641340800000,1.309105,1.327745,1.3035,1.326755,5427349.5727
49,1641344400000,1.326755,1.334905,1.32014,1.32032,3472426.38736
50,1641348000000,1.32071,1.33117,1.32006,1.32722,2693690.976265
51,1641351600000,1.32722,1.33346,1.325555,1.331645,2658778.06812
52,1641355200000,1.331645,1.33608,1.329495,1.333065,1620954.719785
53,1641358800000,1.333065,1.335455,1.32895,1.332475,1402608.081385
54,1641362400000,1.332475,1.346445,1.33051,1.343765,2543311.793105
55,1641366000000,1.343765,1.35212,1.336705,1.34082,2855847.66563
56,1641369600000,1.34082,1.35273,1.335125,1.346005,4094246.859705
57,1641373200000,1.346005,1.34937,1.342405,1.34875,2773060.04983
58,1641376800000,1.34875,1.35377,1.342825,1.346385,2293733.08352
59,1641380400000,1.346385,1.34732,1.323265,1.3289,3146736.87956
60,1641384000000,1.328835,1.33345,1.31754,1.32957,3013752.69545
61,1641387600000,1.32957,1.33784,1.31473,1.325455,10133427.4842
62,1641391200000,1.325435,1.333335,1.318,1.331125,4320206.64403
63,1641394800000,1.33119,1.33408,1.321815,1.32784,3160946.368095
64,1641398400000,1.32784,1.329295,1.319755,1.32033,3116041.99479
65,1641402000000,1.32033,1.32446,1.305705,1.306985,6142460.926885
66,1641405600000,1.30698,1.31619,1.30155,1.309305,7072812.057005
67,1641409200000,1.309305,1.31387,1.24381,1.25526,21175449.55076
68,1641412800000,1.25478,1.264825,1.222925,1.249335,13947925.84141
69,1641416400000,1.24933,1.266235,1.240305,1.243065,8070597.06993
70,1641420000000,1.243065,1.248615,1.192805,1.2347,11115653.52743
71,1641423600000,1.2347,1.248095,1.224645,1.22959,6542373.86635
72,1641427200000,1.22954,1.243145,1.22064,1.239885,8162837.21687
73,1641430800000,1.239925,1.24388,1.222645,1.23099,4097063.791525
74,1641434400000,1.23099,1.23696,1.22141,1.22484,3908121.47018
75,1641438000000,1.22484,1.23006,1.202935,1.20384,4143765.95402
76,1641441600000,1.20384,1.22405,1.197,1.219925,7187487.585345
