,time,open,high,low,close,volume
0,1641966900000,1.21704,1.218375,1.21658,1.21819,214117.59914
1,1641967200000,1.218225,1.21909,1.21457,1.214765,279262.685635
2,1641967500000,1.214765,1.214765,1.21,1.21069,219534.900935
3,1641967800000,1.210545,1.21088,1.207805,1.21043,261631.732985
4,1641968100000,1.210385,1.21043,1.207565,1.208865,183436.864855
5,1641968400000,1.208865,1.210835,1.20788,1.210775,114996.37996
6,1641968700000,1.210775,1.211815,1.21032,1.21055,215943.131645
7,1641969000000,1.21055,1.217155,1.210385,1.214455,580742.53008
8,1641969300000,1.214455,1.214955,1.212125,1.21299,249360.673125
9,1641969600000,1.21299,1.21389,1.208325,1.211435,528908.693625
10,1641969900000,1.211435,1.21195,1.20895,1.21193,252213.612395
11,1641970200000,1.21193,1.213125,1.20862,1.20995,283254.920635
12,1641970500000,1.20995,1.211135,1.209345,1.210485,160163.90043
13,1641970800000,1.210485,1.210485,1.206575,1.20792,233325.7642
14,1641971100000,1.20792,1.20836,1.20408,1.20408,237126.984685
15,1641971400000,1.20408,1.205865,1.2033,1.2033,209452.48093
16,1641971700000,1.2033,1.20416,1.199115,1.201305,452600.30288
17,1641972000000,1.201305,1.20348,1.19965,1.20292,211939.888
18,1641972300000,1.20292,1.20498,1.20133,1.20297,250101.481205
19,1641972600000,1.20297,1.204985,1.20197,1.20238,285309.468665
20,1641972900000,1.20238,1.205105,1.19888,1.204945,331099.04514
21,1641973200000,1.20494,1.205035,1.20331,1.203955,77553.54581
22,1641973500000,1.203955,1.204045,1.201085,1.20153,223128.97439
23,1641973800000,1.20153,1.20193,1.199515,1.2002,107824.762535
24,1641974100000,1.2002,1.2034,1.19995,1.20254,207211.638775
25,1641974400000,1.202495,1.20711,1.202115,1.206765,479066.959135
26,1641974700000,1.206765,1.20883,1.20544,1.208095,138249.91858
27,1641975000000,1.208095,1.213935,1.208095,1.213875,931246.161195
28,1641975300000,1.213875,1.21428,1.209005,1.21041,298539.58138
29,1641975600000,1.21041,1.212695,1.2092,1.21095,213525.811395
30,1641975900000,1.21095,1.21138,1.207455,1.207555,196435.85935
31,1641976200000,1.207555,1.211555,1.206205,1.21135,294115.664465
32,1641976500000,1.21135,1.21218,1.20799,1.209465,141462.39838
33,1641976800000,1.209465,1.213165,1.2091,1.21091,187563.79842
34,1641977100000,1.21091,1.213395,1.210765,1.21223,125853.95008
35,1641977400000,1.21223,1.21818,1.212225,1.214805,292550.27128
36,1641977700000,1.214805,1.216695,1.212855,1.216135,346852.19665
37,1641978000000,1.216135,1.224515,1.213365,1.22387,522320.026935
38,1641978300000,1.22387,1.223885,1.21767,1.21898,196336.619835
39,1641978600000,1.21898,1.221,1.2165,1.21843,254936.291335
40,1641978900000,1.21843,1.231005,1.217385,1.22619,3095340.345135
41,1641979200000,1.22619,1.232775,1.22605,1.23,555385.261705
42,1641979500000,1.23,1.23781,1.23,1.2333,651896.325555
43,1641979800000,1.2333,1.235385,1.230585,1.23258,457617.730155
44,1641980100000,1.23258,1.23624,1.23154,1.232355,322755.89116
45,1641980400000,1.232355,1.237875,1.232005,1.23239,891061.41165
46,1641980700000,1.23239,1.234,1.23006,1.23347,312781.740285
47,1641981000000,1.23347,1.23614,1.23171,1.233785,266960.99177
48,1641981300000,1.233785,1.23563,1.232285,1.235015,164603.085725
49,1641981600000,1.235015,1.23578,1.231595,1.231715,174590.208685
50,1641981900000,1.231715,1.239435,1.23125,1.238595,432041.01394
51,1641982200000,1.238595,1.2398,1.235025,1.23975,367622.018825
52,1641982500000,1.239745,1.23978,1.235145,1.235145,336339.766995
53,1641982800000,1.235145,1.23758,1.234385,1.23725,246528.041575
54,1641983100000,1.23725,1.238595,1.235705,1.23725,113814.89327
55,1641983400000,1.23725,1.238385,1.233175,1.233715,258763.807715
56,1641983700000,1.233715,1.235055,1.232145,1.23505,156161.35201
57,1641984000000,1.23505,1.23505,1.230415,1.232475,221340.78891
58,1641984300000,1.232475,1.23498,1.231635,1.23403,219064.4876
59,1641984600000,1.23403,1.23403,1.23147,1.232165,144249.706495
60,1641984900000,1.232165,1.233695,1.23139,1.23246,108985.80486
61,1641985200000,1.23246,1.242455,1.232315,1.239345,643139.497185
62,1641985500000,1.239345,1.24447,1.238585,1.24031,311575.45848
63,1641985800000,1.24031,1.240425,1.235415,1.238785,203020.84031
64,1641986100000,1.238785,1.24254,1.23687,1.238015,186196.53274
65,1641986400000,1.238015,1.24069,1.23641,1.24048,104091.836625
66,1641986700000,1.24048,1.240555,1.2355,1.23599,290762.19391
67,1641987000000,1.23599,1.238605,1.23437,1.237415,114643.812505
68,1641987300000,1.237415,1.2434,1.233835,1.241585,340584.12466
69,1641987600000,1.243395,1.2583,1.240535,1.24978,2641797.053455
70,1641987900000,1.24978,1.254645,1.245395,1.24807,811883.267835
71,1641988200000,1.24807,1.24835,1.24302,1.246295,682407.044995
72,1641988500000,1.246295,1.247825,1.24168,1.24459,366011.63012
73,1641988800000,1.24441,1.248395,1.242835,1.24828,148526.13928
74,1641989100000,1.24828,1.25079,1.24504,1.24525,275273.23491
75,1641989400000,1.24525,1.2482,1.245125,1.24587,171587.03185
76,1641989700000,1.24587,1.2493,1.244665,1.24777,220984.01803
77,1641990000000,1.24777,1.252365,1.24761,1.251965,130791.02167
78,1641990300000,1.25201,1.25559,1.25034,1.25559,383928.072685
79,1641990600000,1.25559,1.257675,1.25169,1.256395,374904.47364
80,1641990900000,1.256395,1.261515,1.255535,1.25652,525975.375
81,1641991200000,1.25652,1.25653,1.250715,1.25126,308501.804235
82,1641991500000,1.25118,1.253065,1.246685,1.249305,462000.638695
83,1641991800000,1.249305,1.25133,1.24679,1.250665,449070.664785
84,1641992100000,1.250665,1.25532,1.25002,1.25532,258061.73855
85,1641992400000,1.256025,1.25881,1.25284,1.258705,303687.231485
86,1641992700000,1.258705,1.261145,1.255305,1.25634,406430.92193
87,1641993000000,1.25634,1.25775,1.251335,1.251595,200668.966155
88,1641993300000,1.251615,1.25378,1.25138,1.25258,530414.56113
89,1641993600000,1.252585,1.25287,1.2492,1.2499,478799.653785
90,1641993900000,1.2499,1.251995,1.247935,1.250115,375923.475745
91,1641994200000,1.250115,1.2632,1.24868,1.26192,1283099.7923
92,1641994500000,1.26192,1.268875,1.26092,1.266085,1387499.823515
93,1641994800000,1.266085,1.272265,1.266085,1.271435,1247131.608845
94,1641995100000,1.271465,1.27495,1.26623,1.27491,609994.386685
95,1641995400000,1.27491,1.281075,1.272355,1.27991,2000882.462115
96,1641995700000,1.27949,1.28211,1.275905,1.27793,1210377.86763
97,1641996000000,1.27793,1.279325,1.271385,1.272655,833740.9426
98,1641996300000,1.272655,1.273215,1.26455,1.26749,619926.26242
99,1641996600000,1.267525,1.269145,1.263325,1.26504,492171.525525
100,1641996900000,1.26496,1.270225,1.264505,1.267935,589333.86331
101,1641997200000,1.267935,1.27375,1.266715,1.2705,2293977.049135
102,1641997500000,1.2705,1.2714,1.27,1.27083,1104070.014605
103,1641997800000,1.27083,1.280075,1.2705,1.276035,2772237.79743
104,1641998100000,1.276035,1.276035,1.270005,1.27345,544770.828935
105,1641998400000,1.27345,1.274855,1.27,1.27186,814026.714865
106,1641998700000,1.27186,1.275105,1.27087,1.272075,204200.018935
107,1641999000000,1.272075,1.2765,1.27164,1.27354,177401.40684
108,1641999300000,1.27354,1.27794,1.27251,1.27794,168262.607255
109,1641999600000,1.27794,1.278575,1.27158,1.274395,287594.673075
