,time,open,high,low,close,volume
0,1640995200000,109.479,112.049,109.479,111.716,6784225.3784
1,1640998800000,111.716,111.758,109.645,109.78,7855488.0007
2,1641002400000,109.78,111.087,109.773,110.902,4777941.4916
3,1641006000000,110.902,110.959,108.987,109.801,5640886.2857
4,1641009600000,109.801,110.328,108.549,109.129,4825868.0339
5,1641013200000,109.129,111.165,108.628,109.967,4746414.8304
6,1641016800000,109.967,110.383,109.246,109.468,2573896.6614
7,1641020400000,109.468,110.86,109.073,110.367,2265863.9402
8,1641024000000,110.367,110.8,109.529,109.944,2812033.5279
9,1641027600000,109.944,110.217,109.183,109.961,2633960.8753
10,1641031200000,109.961,110.294,108.878,109.181,4202651.9306
11,1641034800000,109.181,110.141,109.149,109.149,2772559.7414
12,1641038400000,109.148,110.069,109.043,109.811,2263987.5447
13,1641042000000,109.811,110.621,109.796,110.336,2163175.9896
14,1641045600000,110.336,110.425,109.115,109.295,3898256.6048
15,1641049200000,109.295,110.501,109.063,109.497,5617146.7016
16,1641052800000,109.497,111.159,109.32,110.956,6484165.0889
17,1641056400000,110.956,114.557,110.956,113.549,15623101.1592
18,1641060000000,113.544,113.851,112.632,113.073,6711827.6147
19,1641063600000,113.073,113.956,112.644,112.716,4171406.6649
20,1641067200000,112.716,113.48,112.156,113.396,5645011.5237
21,1641070800000,113.396,113.879,112.879,113.31,4233853.0796
22,1641074400000,113.31,113.588,112.696,113.553,1986823.687
23,1641078000000,113.553,114.715,112.849,114.276,3961762.8351
24,1641081600000,114.276,116.56,113.516,116.371,9188936.9275
25,1641085200000,116.371,116.461,114.438,114.848,4903427.7926
26,1641088800000,114.848,115.88,114.444,115.817,2526719.5712
27,1641092400000,115.817,117.649,115.142,117.353,6583304.2999
28,1641096000000,117.353,117.478,115.677,117.02,4141231.2494
29,1641099600000,117.02,117.513,115.542,116.119,5228144.7145
30,1641103200000,116.119,116.252,114.749,115.105,4160368.8573
31,1641106800000,115.105,116.225,114.997,115.97,3289266.422
32,1641110400000,115.97,116.151,115.082,115.606,4165219.5476
33,1641114000000,115.606,116.137,115.226,115.299,2725768.4056
34,1641117600000,115.299,115.973,115.15,115.741,2122389.654
35,1641121200000,115.741,116.588,115.597,115.808,2352768.6106
36,1641124800000,115.808,116.367,115.08,115.863,3715067.6574
37,1641128400000,115.863,115.929,115.147,115.147,2087041.548
38,1641132000000,115.147,115.335,113.706,114.012,5433721.6235
39,1641135600000,114.012,114.54,113.5,114.286,4623375.7657
40,1641139200000,114.286,115.994,114.018,115.7,4363957.1743
41,1641142800000,115.7,116.0,115.0,115.305,5202223.0394
42,1641146400000,115.305,115.319,112.778,114.158,7374379.2552
43,1641150000000,114.158,114.463,112.12,112.388,9627209.1909
44,1641153600000,112.388,113.227,112.1,113.052,3613789.5304
45,1641157200000,113.052,113.689,112.671,112.9,3713195.9764
46,1641160800000,112.9,113.972,112.9,113.596,2426342.4485
47,1641164400000,113.596,113.849,113.001,113.1,4412254.8521
48,1641168000000,113.1,113.388,112.168,112.598,3858243.6727
49,1641171600000,112.598,114.262,112.44,113.067,4467799.5101
50,1641175200000,113.067,113.067,112.175,112.444,3849885.5967
51,1641178800000,112.444,112.652,110.697,110.926,10697291.8525
52,1641182400000,110.926,112.208,110.621,111.596,5269003.1378
53,1641186000000,111.596,113.082,111.484,112.412,3298270.766
54,1641189600000,112.412,112.444,111.001,111.187,4093649.7385
55,1641193200000,111.189,111.932,111.073,111.902,3310135.3414
56,1641196800000,111.902,112.161,111.269,112.056,4532118.4951
57,1641200400000,112.056,112.635,111.446,112.181,4370829.4881
58,1641204000000,112.181,112.509,110.224,111.16,9525198.4783
59,1641207600000,111.16,112.105,111.16,111.865,4785378.0464
60,1641211200000,111.867,112.418,111.062,111.536,7222810.2697
61,1641214800000,111.531,113.03,111.529,112.548,5676547.5179
62,1641218400000,112.548,113.487,111.917,112.163,9253648.2835
63,1641222000000,112.163,112.606,110.521,110.731,8605056.0195
64,1641225600000,110.731,111.244,107.504,109.378,17047166.2618
