,time,open,high,low,close,volume
0,1641966900000,90.49,90.878,90.373,90.874,602515.5907
1,1641967200000,90.883,91.558,90.699,91.129,3012956.5757
2,1641967500000,91.129,91.246,90.644,90.782,419998.6486
3,1641967800000,90.782,90.782,90.555,90.655,173756.6753
4,1641968100000,90.655,90.897,90.486,90.875,804237.0597
5,1641968400000,90.875,91.33,90.871,91.28,531899.9483
6,1641968700000,91.28,91.567,91.075,91.251,789258.4227
7,1641969000000,91.251,91.925,91.251,91.825,881151.7872
8,1641969300000,91.825,92.13,91.668,91.668,630029.3388
9,1641969600000,91.668,91.712,91.461,91.585,201024.038
10,1641969900000,91.585,91.924,91.467,91.813,186875.5304
11,1641970200000,91.813,92.031,91.405,91.549,540949.2171
12,1641970500000,91.549,91.733,91.496,91.612,308986.2947
13,1641970800000,91.611,91.735,91.393,91.702,279398.7017
14,1641971100000,91.702,91.802,90.913,91.006,2188034.7008
15,1641971400000,91.006,91.042,90.238,90.4,4834051.5433
16,1641971700000,90.4,90.417,89.857,90.156,2633135.341
17,1641972000000,90.156,90.335,89.932,90.333,1198233.7044
18,1641972300000,90.334,90.464,90.089,90.347,311583.1792
19,1641972600000,90.347,90.467,90.135,90.194,386883.4828
20,1641972900000,90.194,90.572,90.136,90.565,692054.249
21,1641973200000,90.565,90.636,90.143,90.514,475370.7611
22,1641973500000,90.514,90.79,90.25,90.473,3640543.0716
23,1641973800000,90.473,90.501,90.004,90.289,5043238.1774
24,1641974100000,90.289,90.779,90.116,90.558,4889718.5889
25,1641974400000,90.558,90.672,90.229,90.628,294101.2031
26,1641974700000,90.628,90.999,90.523,90.957,399294.6016
27,1641975000000,90.957,91.261,90.918,91.22,721944.6972
28,1641975300000,91.22,91.246,90.907,91.141,177879.1977
29,1641975600000,91.145,91.393,91.08,91.35,180611.5526
30,1641975900000,91.35,91.395,90.972,91.263,544429.5492
31,1641976200000,91.263,91.294,91.162,91.198,123256.2845
32,1641976500000,91.198,91.236,90.845,90.869,158272.0755
33,1641976800000,90.869,90.906,90.68,90.888,541660.7284
34,1641977100000,90.888,91.12,90.832,91.12,218381.3266
35,1641977400000,91.12,91.325,91.056,91.325,181689.3144
36,1641977700000,91.325,91.362,90.779,90.872,109688.2681
37,1641978000000,90.872,91.343,90.752,91.343,155357.9439
38,1641978300000,91.343,91.513,91.241,91.473,883136.9444
39,1641978600000,91.473,91.661,91.366,91.527,314101.1598
40,1641978900000,91.527,92.483,91.43,92.391,3094259.3256
41,1641979200000,92.391,93.222,92.391,93.222,4605508.0026
42,1641979500000,93.222,93.7,92.947,93.185,3148974.232
43,1641979800000,93.185,93.286,92.648,92.929,841590.0697
44,1641980100000,92.929,93.347,92.876,93.15,572259.4906
45,1641980400000,93.15,93.838,93.011,93.772,1831306.2527
46,1641980700000,93.772,94.049,92.808,93.133,4427615.0047
47,1641981000000,93.133,93.33,92.896,93.13,394456.9283
48,1641981300000,93.13,95.329,93.124,94.54,10229363.6315
49,1641981600000,94.562,94.886,93.942,93.943,2811353.5893
50,1641981900000,93.943,94.703,93.672,94.423,884030.2258
51,1641982200000,94.423,94.497,94.156,94.475,860474.1662
