,time,open,high,low,close,volume
0,1640995200000,93.047,94.455,93.047,94.341,1285425.0107
1,1640998800000,94.341,94.795,93.774,93.87,791438.5576
2,1641002400000,93.87,94.322,93.819,94.117,1305301.8644
3,1641006000000,94.117,94.131,93.548,93.601,297446.0777
4,1641009600000,93.601,93.741,93.18,93.334,375553.286
5,1641013200000,93.334,95.25,93.245,94.215,1142147.8137
6,1641016800000,94.215,94.411,93.463,93.568,430612.8088
7,1641020400000,93.568,94.06,93.243,93.831,288957.6026
8,1641024000000,93.831,94.2,93.651,93.922,221031.0793
9,1641027600000,93.922,94.105,93.022,93.29,505057.6466
10,1641031200000,93.29,93.608,91.779,91.995,2065946.8839
11,1641034800000,91.995,92.202,91.197,91.701,1039836.4824
12,1641038400000,91.701,92.753,91.65,92.453,1033338.2691
13,1641042000000,92.453,92.759,92.245,92.513,544788.0113
14,1641045600000,92.513,92.59,92.097,92.228,829562.8143
15,1641049200000,92.228,93.209,92.068,92.585,903103.8518
16,1641052800000,92.585,93.673,92.427,92.886,786909.4355
17,1641056400000,92.886,93.978,92.696,93.615,840763.1285
18,1641060000000,93.615,93.78,93.074,93.45,261581.8903
19,1641063600000,93.45,93.625,93.148,93.566,458187.9211
20,1641067200000,93.566,94.126,93.534,93.693,235379.6902
21,1641070800000,93.693,93.962,93.426,93.649,510112.8049
22,1641074400000,93.649,93.743,93.288,93.682,358525.8967
23,1641078000000,93.682,94.096,93.295,93.967,340192.4034
24,1641081600000,93.967,94.079,93.483,94.063,443465.5763
25,1641085200000,94.063,94.264,93.784,93.83,816761.3904
26,1641088800000,93.83,93.984,93.505,93.631,530031.8511
27,1641092400000,93.636,94.096,93.578,93.849,284520.4442
28,1641096000000,93.849,94.131,92.852,93.38,627946.4456
29,1641099600000,93.38,94.015,93.212,93.858,1019482.4659
30,1641103200000,93.858,93.892,93.514,93.536,175542.1034
31,1641106800000,93.536,93.9,93.454,93.714,202166.3258
32,1641110400000,93.714,94.725,93.38,94.057,549240.6
33,1641114000000,94.057,94.684,93.953,94.062,241696.618
34,1641117600000,94.062,94.477,93.963,94.323,196551.2334
35,1641121200000,94.322,94.63,93.774,93.934,423245.1004
36,1641124800000,93.934,94.466,93.494,94.159,609513.3196
37,1641128400000,94.159,94.361,93.909,94.237,449284.3968
38,1641132000000,94.237,95.377,94.163,95.011,913025.059
39,1641135600000,95.011,95.689,94.979,95.183,591628.4528
40,1641139200000,95.183,96.359,95.111,96.061,1046902.4896
41,1641142800000,96.065,96.557,95.581,95.853,496832.1363
