,time,open,high,low,close,volume
0,1640995200000,511.59,518.0125,511.48,517.6325,3582466.14875
1,1640998800000,517.6325,520.1975,516.4825,517.3825,1344400.8815
2,1641002400000,517.3825,519.465,517.3825,518.0825,789583.26825
3,1641006000000,518.0925,518.9,517.525,518.17,663449.878
4,1641009600000,518.17,518.69,514.78,514.93,2585665.21
5,1641013200000,514.93,521.725,514.5125,518.2375,1304827.61825
6,1641016800000,518.2375,519.18,514.79,515.21,1196865.83325
7,1641020400000,515.21,516.635,513.94,516.08,2206498.431
8,1641024000000,516.08,517.2375,515.16,516.275,1937366.1615
9,1641027600000,516.275,517.3025,513.745,515.6575,4391737.52
10,1641031200000,515.6575,517.0475,512.465,514.405,2724440.076
11,1641034800000,514.405,515.8925,513.7475,513.7775,1680799.89825
12,1641038400000,513.7775,517.8875,513.7775,517.315,5146309.8755
13,1641042000000,517.315,518.15,516.4025,517.25,1124958.79325
14,1641045600000,517.25,518.4225,516.235,516.58,1078063.4975
15,1641049200000,516.58,521.025,516.2225,518.785,1963403.734
16,1641052800000,518.785,524.8475,517.7025,521.4025,6011726.964
17,1641056400000,521.4025,525.1925,520.4825,524.3625,2324407.995
18,1641060000000,524.3625,525.0775,522.7675,523.3075,1658320.2885
19,1641063600000,523.3075,524.63,523.0775,524.18,1643175.6595
20,1641067200000,524.18,527.4075,524.18,526.02,1881020.19775
21,1641070800000,526.02,527.4375,524.6775,525.225,1669112.56975
22,1641074400000,525.225,526.385,524.44,525.5625,1846203.1535
23,1641078000000,525.5625,528.0,524.635,527.5875,1734433.042
24,1641081600000,527.5625,527.8125,524.705,525.5025,3290560.66325
25,1641085200000,525.5025,525.66,522.9075,523.18,1410739.83575
26,1641088800000,523.18,524.7175,522.9075,523.3125,1056783.893
27,1641092400000,523.3125,524.49,522.8375,523.24,788735.14875
28,1641096000000,523.24,523.34,518.185,519.53,2299501.869
29,1641099600000,519.53,523.025,518.8775,522.9375,1743968.41375
30,1641103200000,522.9375,522.9975,521.31,521.3975,1081885.44825
31,1641106800000,521.3975,522.8,520.8025,522.1175,745059.79975
32,1641110400000,522.1175,522.555,520.0025,521.93,975493.46375
33,1641114000000,521.93,524.8075,521.665,522.9075,1150365.2475
34,1641117600000,522.9075,523.7875,522.595,522.7675,875679.32425
35,1641121200000,522.7675,524.6875,522.52,523.1075,682649.32175
36,1641124800000,523.1075,524.9075,521.7925,523.9925,1292209.60625
37,1641128400000,523.9925,524.5475,521.8025,522.52,1038482.88175
38,1641132000000,522.52,524.085,521.84,523.6575,1186327.35775
