,time,open,high,low,close,volume
0,1641966900000,459.0025,459.7425,459.0025,459.725,99310.2935
1,1641967200000,459.725,460.4375,459.4925,460.2725,159095.33975
2,1641967500000,460.2725,460.2725,459.77,459.8675,194713.15825
3,1641967800000,459.8675,460.34,459.5,460.24,235364.198
4,1641968100000,460.24,460.24,459.545,459.64,295118.4505
5,1641968400000,459.64,459.755,459.2925,459.6025,80315.4545
6,1641968700000,459.6025,460.2325,459.5625,460.1475,192066.5585
7,1641969000000,460.1475,461.59,460.0175,461.335,468544.805
8,1641969300000,461.335,461.335,459.995,460.27,2395937.75825
9,1641969600000,460.27,460.5375,459.815,460.5225,200998.25725
10,1641969900000,460.5225,460.79,460.335,460.7625,188577.04225
11,1641970200000,460.76,460.8275,459.86,460.0675,254543.18225
12,1641970500000,460.0675,460.5625,459.8975,460.395,247298.74775
13,1641970800000,460.395,460.395,459.56,459.5875,99534.069
14,1641971100000,459.615,459.6975,458.6425,458.6425,108137.9845
15,1641971400000,458.6425,459.08,458.05,458.155,234788.12125
16,1641971700000,458.155,458.4625,457.065,457.4625,526445.15675
17,1641972000000,457.4625,457.72,457.165,457.6225,109477.10025
18,1641972300000,457.6225,457.9975,456.9275,457.45,154496.39975
19,1641972600000,457.4475,457.6075,457.0775,457.16,73224.38325
20,1641972900000,457.16,457.8875,457.0025,457.7875,169562.9285
21,1641973200000,457.7875,457.98,457.555,457.8375,125124.338
22,1641973500000,457.8375,457.9375,457.525,457.66,60515.32375
23,1641973800000,457.66,458.0725,457.4675,457.68,93942.77175
24,1641974100000,457.68,458.74,456.8525,458.275,339672.0225
25,1641974400000,458.305,459.0575,457.705,459.0,472685.562
26,1641974700000,459.0,459.8125,458.835,459.8125,235846.5285
27,1641975000000,459.8125,461.1625,459.8125,461.1625,246923.83175
28,1641975300000,461.1625,461.2175,460.6425,460.8775,143631.21775
29,1641975600000,460.8775,461.55,460.51,461.2475,110715.476
30,1641975900000,461.2475,461.2825,460.315,460.7525,200014.965
31,1641976200000,460.7525,462.1275,460.2,462.1275,415562.98225
32,1641976500000,462.1275,462.65,461.5025,461.5325,290843.29375
33,1641976800000,461.5325,465.0,461.4375,463.0025,1142438.7095
34,1641977100000,463.0025,463.5075,462.1175,462.1175,262980.06725
35,1641977400000,462.1175,462.545,461.21,461.4025,605222.8435
36,1641977700000,461.4025,461.54,459.9575,460.4575,309306.88125
37,1641978000000,460.48,462.5825,460.215,462.4475,226576.07975
38,1641978300000,462.4475,462.59,462.0575,462.29,279556.99875
39,1641978600000,462.29,462.9825,461.9325,462.185,68713.605
40,1641978900000,462.185,463.205,461.955,463.205,106007.63325
41,1641979200000,463.245,464.6075,463.1975,464.285,265276.682
42,1641979500000,464.285,466.4225,464.285,465.895,3191018.11725
43,1641979800000,465.8225,465.9975,464.3275,464.525,416372.0305
