,time,open,high,low,close,volume
0,1641066300000,47340.0,47371.0,47302.0,47339.0,22652072.9542
1,1641067200000,47339.0,47350.0,47306.0,47328.0,24153047.6849
2,1641068100000,47327.0,47467.0,47267.0,47447.0,42098268.3281
3,1641069000000,47447.0,47585.0,47406.0,47424.0,28640955.2168
4,1641069900000,47424.0,47494.0,47368.0,47415.0,12208236.0656
5,1641070800000,47415.0,47561.0,47387.0,47523.0,15478644.7107
6,1641071700000,47523.0,47560.0,47356.0,47376.0,16433514.8201
7,1641072600000,47376.0,47530.0,47366.0,47469.0,16358559.8663
8,1641073500000,47469.0,47489.0,47290.0,47336.0,16925825.6807
9,1641074400000,47336.0,47380.0,47238.0,47276.0,15939008.6186
10,1641075300000,47276.0,47439.0,47275.0,47409.0,9929966.9168
11,1641076200000,47409.0,47490.0,47393.0,47470.0,5667175.1798
12,1641077100000,47470.0,47500.0,47387.0,47453.0,13127209.0017
13,1641078000000,47453.0,47468.0,47284.0,47351.0,23118973.7613
14,1641078900000,47351.0,47500.0,47351.0,47450.0,18121569.8845
15,1641079800000,47450.0,47615.0,47392.0,47529.0,25558413.8712
16,1641080700000,47529.0,47846.0,47529.0,47758.0,30937950.3113
17,1641081600000,47758.0,47787.0,47488.0,47538.0,40067901.5422
18,1641082500000,47538.0,47595.0,47411.0,47565.0,26661803.5645
19,1641083400000,47565.0,47731.0,47514.0,47674.0,12848452.3566
20,1641084300000,47674.0,47699.0,47615.0,47657.0,9861751.7312
21,1641085200000,47657.0,47666.0,47454.0,47472.0,17063120.5126
22,1641086100000,47472.0,47515.0,47427.0,47468.0,15643870.1079
23,1641087000000,47468.0,47490.0,47333.0,47399.0,13247484.2628
24,1641087900000,47399.0,47415.0,47340.0,47390.0,6929408.2463
25,1641088800000,47390.0,47446.0,47344.0,47446.0,17567919.8167
26,1641089700000,47446.0,47459.0,47335.0,47349.0,11080055.1509
27,1641090600000,47349.0,47443.0,47307.0,47390.0,12953351.9293
28,1641091500000,47390.0,47443.0,47385.0,47391.0,5342328.4534
29,1641092400000,47391.0,47412.0,47305.0,47310.0,8396145.8346
30,1641093300000,47310.0,47401.0,47281.0,47400.0,11151282.055
31,1641094200000,47400.0,47480.0,47389.0,47424.0,9404326.2073
32,1641095100000,47424.0,47427.0,47294.0,47353.0,8258254.1393
33,1641096000000,47353.0,47435.0,47322.0,47406.0,7994085.4022
34,1641096900000,47406.0,47407.0,47301.0,47324.0,7266290.1413
35,1641097800000,47324.0,47407.0,47150.0,47176.0,30927263.8498
36,1641098700000,47176.0,47185.0,46785.0,46922.0,86463463.2912
37,1641099600000,46922.0,47012.0,46850.0,46877.0,25005546.1949
38,1641100500000,46881.0,46977.0,46854.0,46953.0,18587693.1741
39,1641101400000,46953.0,47077.0,46950.0,46978.0,15103231.1302
40,1641102300000,46978.0,47103.0,46935.0,47093.0,14166435.6924
41,1641103200000,47089.0,47154.0,47025.0,47051.0,15768043.3936
42,1641104100000,47051.0,47209.0,47046.0,47117.0,14188549.7031
43,1641105000000,47117.0,47250.0,47077.0,47201.0,16632571.208
44,1641105900000,47201.0,47253.0,47130.0,47139.0,10140154.8554
45,1641106800000,47139.0,47192.0,47103.0,47148.0,8762799.5545
46,1641107700000,47148.0,47221.0,47148.0,47200.0,7697189.1682
47,1641108600000,47200.0,47321.0,47177.0,47190.0,15774601.8879
48,1641109500000,47190.0,47212.0,47114.0,47192.0,23167373.0584
49,1641110400000,47192.0,47192.0,46985.0,47072.0,21071738.7961
50,1641111300000,47072.0,47238.0,47062.0,47180.0,10587870.5149
51,1641112200000,47180.0,47193.0,47073.0,47169.0,8148118.897
52,1641113100000,47169.0,47259.0,47162.0,47234.0,14737336.0456
53,1641114000000,47234.0,47249.0,47164.0,47227.0,13052384.2016
54,1641114900000,47227.0,47545.0,47196.0,47355.0,42256694.6788
55,1641115800000,47362.0,47409.0,47345.0,47394.0,25188256.5308
56,1641116700000,47394.0,47394.0,47273.0,47293.0,16145214.4994
57,1641117600000,47293.0,47357.0,47268.0,47357.0,6996836.1803
58,1641118500000,47357.0,47357.0,47262.0,47290.0,6025544.2137
59,1641119400000,47290.0,47332.0,47235.0,47279.0,6265858.7908
60,1641120300000,47279.0,47283.0,47166.0,47207.0,10257201.4062
