,time,open,high,low,close,volume
0,1641966900000,3228.3,3230.4,3226.3,3230.3,838932.7099
1,1641967200000,3230.3,3232.9,3229.6,3232.7,1992500.2874
2,1641967500000,3232.7,3232.9,3228.6,3229.7,2853393.2991
3,1641967800000,3229.7,3233.2,3226.0,3230.8,6041335.0204
4,1641968100000,3230.8,3230.8,3227.3,3228.6,1261487.0544
5,1641968400000,3228.6,3229.2,3226.4,3227.7,421107.8743
6,1641968700000,3227.7,3234.6,3227.5,3233.8,2045288.7835
7,1641969000000,3233.8,3265.3,3233.8,3254.9,117620843.2338
8,1641969300000,3254.9,3255.7,3242.7,3242.8,10060728.5634
9,1641969600000,3242.8,3244.8,3241.3,3241.3,6717271.936
10,1641969900000,3241.3,3241.3,3238.2,3239.3,1961476.1823
11,1641970200000,3239.3,3239.9,3231.6,3232.6,7252067.0799
12,1641970500000,3232.6,3235.8,3231.5,3235.8,3255201.0134
13,1641970800000,3235.8,3236.4,3231.6,3235.9,2317553.0558
14,1641971100000,3235.9,3240.3,3228.7,3228.8,6894027.7817
15,1641971400000,3228.8,3232.6,3220.0,3222.9,11718462.6231
16,1641971700000,3222.9,3225.3,3207.5,3210.1,12027516.4625
17,1641972000000,3210.1,3216.5,3205.9,3214.2,11844929.859
18,1641972300000,3214.2,3218.0,3203.0,3210.4,31604303.76
19,1641972600000,3210.4,3211.1,3208.5,3210.6,4260216.1526
20,1641972900000,3210.6,3218.6,3210.1,3218.4,3349937.4098
21,1641973200000,3218.3,3218.3,3216.4,3217.4,921531.0301
22,1641973500000,3217.4,3217.5,3212.2,3213.6,1427911.9869
23,1641973800000,3213.6,3214.6,3212.9,3213.3,440625.072
24,1641974100000,3213.3,3217.8,3213.1,3216.9,713355.0969
25,1641974400000,3216.8,3223.3,3214.8,3222.5,5154953.0096
26,1641974700000,3222.5,3228.0,3220.6,3226.0,11541543.0793
27,1641975000000,3226.0,3232.4,3226.0,3230.8,16628726.8257
