,time,open,high,low,close,volume
0,1642204800000,2.6295,2.6353,2.6103,2.6265,16105.8978
1,1642208400000,2.6265,2.6353,2.613,2.6237,10848.0991
2,1642212000000,2.6237,2.6373,2.6219,2.636,12219.4732
3,1642215600000,2.636,2.641,2.6212,2.6224,16163.7388
4,1642219200000,2.6224,2.6254,2.6094,2.6143,17358.1808
5,1642222800000,2.6143,2.6205,2.6129,2.616,6489.4294
6,1642226400000,2.616,2.6238,2.6078,2.6238,10245.6387
7,1642230000000,2.6238,2.6315,2.6079,2.6139,14316.3671
8,1642233600000,2.6139,2.7175,2.6139,2.6784,57223.3361
9,1642237200000,2.6784,2.7344,2.6591,2.7317,50353.714
10,1642240800000,2.7317,2.7397,2.701,2.7104,48780.5887
11,1642244400000,2.7104,2.7165,2.7044,2.7102,12288.6881
12,1642248000000,2.7102,2.7136,2.6251,2.6423,50605.3533
13,1642251600000,2.6423,2.6756,2.633,2.6723,39520.9066
14,1642255200000,2.6723,2.693,2.6618,2.6824,32581.1568
15,1642258800000,2.6824,2.6841,2.6662,2.6766,12457.2906
16,1642262400000,2.6766,2.6866,2.6766,2.6783,10876.4786
17,1642266000000,2.6783,2.6883,2.6649,2.6791,23511.9389
18,1642269600000,2.6791,2.6833,2.6668,2.68,27426.4925
19,1642273200000,2.68,2.6864,2.6751,2.6781,6782.1542
20,1642276800000,2.6781,2.7142,2.6781,2.6973,28729.5801
21,1642280400000,2.6973,2.7011,2.6722,2.6867,68236.6561
22,1642284000000,2.6867,2.6992,2.6736,2.6963,85624.5543
23,1642287600000,2.6963,2.6985,2.6823,2.6857,42865.0523
24,1642291200000,2.6857,2.6892,2.6634,2.6634,32947.8679
25,1642294800000,2.6634,2.6725,2.6535,2.6592,14585.1375
26,1642298400000,2.6592,2.6938,2.6414,2.6414,25666.7146
27,1642302000000,2.6414,2.6518,2.6383,2.6473,9552.1257
28,1642305600000,2.6473,2.655,2.64,2.6435,17121.3635
29,1642309200000,2.6435,2.6473,2.6331,2.6331,12225.1225
30,1642312800000,2.6331,2.6465,2.6288,2.6441,4035.9043
31,1642316400000,2.6441,2.6562,2.6424,2.6499,9053.347
32,1642320000000,2.6499,2.6606,2.6398,2.6401,15460.0264
33,1642323600000,2.6401,2.6461,2.6356,2.6394,3052.952
34,1642327200000,2.6394,2.6494,2.6202,2.6214,7393.6474
35,1642330800000,2.6214,2.6307,2.6142,2.6267,12859.9611
36,1642334400000,2.6267,2.6423,2.6226,2.6351,62535.3087
37,1642338000000,2.6351,2.65,2.5946,2.6366,39321.6362
38,1642341600000,2.6366,2.6571,2.6297,2.6476,10712.0603
39,1642345200000,2.6476,2.6507,2.6316,2.6328,10366.4142
40,1642348800000,2.6325,2.6404,2.6268,2.6348,11901.1101
41,1642352400000,2.6348,2.6419,2.6142,2.6175,12182.7587
42,1642356000000,2.6175,2.6237,2.6066,2.6122,8069.5966
43,1642359600000,2.6122,2.6189,2.6071,2.6071,3663.0246
44,1642363200000,2.6071,2.6125,2.5995,2.6099,27028.0598
45,1642366800000,2.6099,2.6112,2.5978,2.601,7610.3361
46,1642370400000,2.601,2.6249,2.5987,2.6123,8419.427
47,1642374000000,2.6131,2.6144,2.6057,2.6084,5138.9359
48,1642377600000,2.6084,2.609,2.5806,2.5829,15633.5405
49,1642381200000,2.5829,2.5847,2.5688,2.5736,4792.1136
50,1642384800000,2.5736,2.5752,2.5644,2.5677,9504.3233
51,1642388400000,2.5677,2.6245,2.5371,2.571,28250.7854
52,1642392000000,2.571,2.5724,2.5521,2.5644,15360.528
53,1642395600000,2.5644,2.5644,2.5389,2.5452,12521.9569
