,time,open,high,low,close,volume
0,1641066300000,89.323,89.708,89.25,89.607,1215984.832
1,1641067200000,89.607,89.985,89.57,89.96,1313258.3693
2,1641068100000,89.96,89.985,89.79,89.944,649824.5904
3,1641069000000,89.944,90.299,89.888,90.053,4578332.6539
4,1641069900000,90.053,90.329,90.0,90.139,802766.3377
5,1641070800000,90.139,90.79,90.139,90.701,1890519.36
6,1641071700000,90.701,90.705,89.813,90.039,3136804.3324
7,1641072600000,90.039,90.615,89.973,90.219,892170.6709
8,1641073500000,90.219,90.498,89.843,90.156,674374.8946
9,1641074400000,90.156,90.262,89.6,89.793,1549610.8731
10,1641075300000,89.793,89.894,89.532,89.873,807592.2702
11,1641076200000,89.873,89.92,89.677,89.88,329558.8925
12,1641077100000,89.88,90.431,89.876,90.329,2318816.6065
13,1641078000000,90.329,90.756,89.832,90.468,3525372.1681
14,1641078900000,90.468,91.0,90.468,90.758,3911652.5581
15,1641079800000,90.758,91.427,90.737,91.228,3458197.2279
16,1641080700000,91.228,91.767,91.185,91.701,5270262.8867
17,1641081600000,91.701,91.953,91.219,91.375,4444995.1528
18,1641082500000,91.376,91.649,90.874,91.502,4352853.9868
19,1641083400000,91.506,91.957,91.265,91.415,3678707.8846
20,1641084300000,91.415,91.8,91.268,91.584,4478463.6634
21,1641085200000,91.584,91.825,91.257,91.745,3102433.5087
22,1641086100000,91.745,91.939,91.344,91.373,2673568.6058
23,1641087000000,91.373,91.601,90.663,90.862,4806400.2718
24,1641087900000,90.862,91.091,90.632,90.909,2491465.6222
25,1641088800000,90.909,91.4,90.77,91.32,2822621.3488
26,1641089700000,91.32,91.8,91.316,91.493,3459148.5798
27,1641090600000,91.493,91.573,91.101,91.199,3027897.8716
28,1641091500000,91.199,91.737,91.199,91.616,2549023.2978
29,1641092400000,91.612,91.7,91.378,91.378,1807777.9849
30,1641093300000,91.378,91.79,91.228,91.783,2821288.1921
31,1641094200000,91.783,91.911,91.529,91.777,2497824.6374
32,1641095100000,91.777,92.411,91.524,92.244,4077926.0899
33,1641096000000,92.244,92.5,92.082,92.337,2040796.3334
34,1641096900000,92.334,92.52,92.083,92.083,1680378.6317
35,1641097800000,92.083,92.215,91.71,91.851,2221229.1155
36,1641098700000,91.851,91.861,90.85,91.431,5720676.0438
37,1641099600000,91.431,91.846,91.33,91.378,1442960.3404
38,1641100500000,91.378,91.553,90.926,90.948,2768980.4527
39,1641101400000,90.939,91.349,90.929,90.975,1360977.6131
40,1641102300000,90.975,91.042,90.738,90.987,1474241.0196
41,1641103200000,90.987,91.0,90.377,90.496,2630938.8975
42,1641104100000,90.472,90.77,90.385,90.659,2707256.0105
43,1641105000000,90.659,90.67,90.169,90.193,1646074.4219
44,1641105900000,90.193,90.378,89.955,90.084,1403208.8907
45,1641106800000,90.092,90.186,89.759,90.143,1977136.055
46,1641107700000,90.142,90.8,90.138,90.443,1743487.7751
47,1641108600000,90.443,90.545,90.222,90.408,659045.0376
48,1641109500000,90.408,90.681,90.253,90.428,693527.7004
49,1641110400000,90.428,90.494,89.787,89.928,1565212.9084
50,1641111300000,89.928,90.1,89.632,90.069,1024910.5557
51,1641112200000,90.069,90.074,89.5,89.624,1616321.1761
52,1641113100000,89.624,89.789,89.353,89.67,2322157.7401
53,1641114000000,89.669,90.032,89.535,89.826,1211180.5334
54,1641114900000,89.826,90.184,89.635,90.001,1365580.7162
55,1641115800000,90.001,90.41,89.951,90.374,1310228.4892
56,1641116700000,90.374,90.411,89.912,89.926,753340.336
57,1641117600000,89.926,90.229,89.619,90.229,1003074.0479
