,time,open,high,low,close,volume
0,1641081600000,91.701,91.957,90.874,91.584,16955020.6876
1,1641085200000,91.584,91.939,90.632,90.909,13073868.0085
2,1641088800000,90.909,91.8,90.77,91.616,11858691.098
3,1641092400000,91.612,92.411,91.228,92.244,11204816.9043
4,1641096000000,92.244,92.52,90.85,91.431,11663080.1244
5,1641099600000,91.431,91.846,90.738,90.987,7047159.4258
6,1641103200000,90.987,91.0,89.955,90.084,8387478.2206
7,1641106800000,90.092,90.8,89.759,90.428,5073196.5681
8,1641110400000,90.428,90.494,89.353,89.67,6528602.3803
9,1641114000000,89.669,90.411,89.535,89.926,4640330.0748
10,1641117600000,89.926,90.236,89.619,89.94,2438254.1191
11,1641121200000,89.94,90.2,89.3,89.361,2440164.6998
12,1641124800000,89.361,90.071,88.931,89.774,5656981.1308
13,1641128400000,89.774,89.782,89.111,89.363,3500176.7381
14,1641132000000,89.363,89.781,88.963,89.042,3697347.7882
15,1641135600000,89.042,89.481,88.91,89.364,6076090.3528
16,1641139200000,89.364,90.649,89.161,90.284,8335282.6994
17,1641142800000,90.284,90.771,89.2,89.482,16650862.3205
18,1641146400000,89.482,89.77,87.849,89.561,17589566.6404
19,1641150000000,89.561,89.75,88.655,89.16,14534118.3235
20,1641153600000,89.16,89.58,88.849,89.026,11299483.2495
21,1641157200000,89.026,89.572,88.85,89.316,11526091.5239
22,1641160800000,89.316,90.116,89.244,90.054,7320600.2393
23,1641164400000,90.054,90.168,89.225,89.427,5268327.247
24,1641168000000,89.427,90.3,89.39,89.609,10257060.0602
25,1641171600000,89.609,90.25,89.255,90.216,5133330.3543
26,1641175200000,90.216,91.0,89.831,90.757,6060931.6318
27,1641178800000,90.757,91.049,89.5,90.688,12164279.1223
28,1641182400000,90.688,92.04,90.541,91.382,9677174.0112
29,1641186000000,91.382,92.02,91.172,91.781,5386624.2596
30,1641189600000,91.781,92.089,91.452,91.595,8173689.0819
31,1641193200000,91.595,92.296,91.193,92.058,8820627.5685
32,1641196800000,92.058,92.5,91.562,91.899,8832293.8545
33,1641200400000,91.899,92.858,91.615,92.854,8601561.1278
