,time,open,high,low,close,volume
0,1641066300000,2.5769975,2.5841075,2.574525,2.5815925,292925.6621725
1,1641067200000,2.5815925,2.58411,2.568245,2.5693875,456461.057585
2,1641068100000,2.5693875,2.576885,2.56431,2.573255,398575.8023475
3,1641069000000,2.573255,2.5857125,2.5705775,2.5764525,830414.2070625
4,1641069900000,2.5764525,2.5789125,2.5621825,2.5640475,807344.74571
5,1641070800000,2.5640475,2.5803525,2.5640475,2.5770325,365352.25503
6,1641071700000,2.5776625,2.5776625,2.558785,2.5643125,1468839.1093575
7,1641072600000,2.5643125,2.57462,2.563,2.5664925,516650.8487
8,1641073500000,2.5664925,2.5682375,2.551355,2.55209,562324.32224
9,1641074400000,2.55209,2.56053,2.536555,2.543615,1291406.64306
10,1641075300000,2.543615,2.5493925,2.543355,2.5443,530689.594485
11,1641076200000,2.5443,2.5523,2.53902,2.550165,627429.2406175
12,1641077100000,2.550165,2.5570325,2.54991,2.551275,532270.4197125
13,1641078000000,2.55215,2.55215,2.53963,2.545405,1541080.1425975
14,1641078900000,2.545405,2.56572,2.5439425,2.56396,861273.3273075
15,1641079800000,2.5639425,2.5652675,2.558255,2.5641275,447003.5315875
16,1641080700000,2.5640975,2.5807025,2.5631325,2.5723175,1031441.5625075
17,1641081600000,2.5723175,2.580265,2.553865,2.56056,2356517.9118175
18,1641082500000,2.56056,2.5610675,2.54904,2.55313,912948.3538175
19,1641083400000,2.55313,2.56295,2.552855,2.5579325,712397.858795
20,1641084300000,2.5579325,2.5634425,2.5492325,2.5492325,428739.7492525
21,1641085200000,2.5492325,2.5501875,2.538795,2.54041,829730.9641825
22,1641086100000,2.54041,2.5501,2.54006,2.54711,701701.3360725
23,1641087000000,2.54711,2.55417,2.5345425,2.542135,744280.457325
24,1641087900000,2.542135,2.54421,2.5259325,2.537605,1187413.4931275
25,1641088800000,2.537605,2.555135,2.530695,2.54484,2607466.2355425
26,1641089700000,2.54484,2.548525,2.538815,2.540025,476994.7841575
27,1641090600000,2.540025,2.541555,2.5276525,2.532275,1508892.212445
28,1641091500000,2.532275,2.53365,2.520085,2.521845,934809.6378275
29,1641092400000,2.521845,2.532435,2.520345,2.5239325,470795.6446625
30,1641093300000,2.5239325,2.53837,2.52142,2.5382825,922965.56146
31,1641094200000,2.5383675,2.5424525,2.5330175,2.5355125,504770.4169775
32,1641095100000,2.5355125,2.5370425,2.5275125,2.5341925,476233.9777775
33,1641096000000,2.5342125,2.54766,2.5319125,2.53878,1331982.74781
34,1641096900000,2.53881,2.5417925,2.532225,2.5409175,343969.2257675
35,1641097800000,2.54058,2.54916,2.531275,2.5339075,793000.5987625
36,1641098700000,2.5339075,2.5346725,2.51268,2.5244975,2448343.9088925
37,1641099600000,2.5244975,2.5326775,2.516855,2.5177425,645432.8560825
38,1641100500000,2.517515,2.5311125,2.5171275,2.52656,443500.6885075
39,1641101400000,2.52656,2.5346,2.5204875,2.5213425,520701.49647
40,1641102300000,2.5213425,2.53473,2.519885,2.532885,544193.137905
41,1641103200000,2.532885,2.532885,2.5188025,2.5228525,416071.4824475
42,1641104100000,2.5228525,2.530205,2.5219675,2.5228025,259704.6588925
43,1641105000000,2.5228025,2.53075,2.520445,2.5247275,261848.7678375
44,1641105900000,2.5243325,2.528955,2.5209425,2.5233975,296430.31837
45,1641106800000,2.5233975,2.53511,2.51987,2.53058,748713.26703
46,1641107700000,2.53058,2.5378025,2.5302275,2.5341775,494427.926325
47,1641108600000,2.5341775,2.5421225,2.53195,2.5339325,512593.6782475
48,1641109500000,2.5339325,2.5371075,2.5294675,2.5307725,432565.38943
49,1641110400000,2.5307725,2.5337975,2.5211375,2.5298575,706414.30835
50,1641111300000,2.5298575,2.5366975,2.529395,2.53074,401717.3480775
51,1641112200000,2.53074,2.53102,2.5177975,2.5231275,1106759.6394175
52,1641113100000,2.523155,2.53146,2.522635,2.526215,235770.7467875
53,1641114000000,2.526215,2.53435,2.52378,2.53282,496765.9328275
54,1641114900000,2.53282,2.5450075,2.528335,2.5375425,766675.44593
55,1641115800000,2.5375425,2.5444725,2.5362575,2.5429975,365561.034465
56,1641116700000,2.5429975,2.5454325,2.5385525,2.539445,390019.05965
57,1641117600000,2.539445,2.5401,2.5295875,2.5390325,615970.6460175
58,1641118500000,2.5390325,2.5392775,2.5246575,2.52628,610722.4313225
59,1641119400000,2.52628,2.53172,2.5252425,2.52759,327201.62854
60,1641120300000,2.52759,2.53333,2.5248725,2.529005,678672.7326025
61,1641121200000,2.529005,2.536375,2.5275,2.5316325,326479.636875
62,1641122100000,2.5316325,2.53525,2.52881,2.5345425,224338.979465
63,1641123000000,2.5345425,2.5379425,2.5254025,2.5263125,250339.3868675
64,1641123900000,2.5263125,2.526835,2.5188,2.5209075,1333662.918995
65,1641124800000,2.5209075,2.524915,2.51636,2.5239,986448.31716
66,1641125700000,2.5238475,2.5296275,2.52142,2.5278025,403890.8168475
67,1641126600000,2.5278025,2.5376275,2.5264775,2.5337175,713183.6743825
68,1641127500000,2.5337175,2.5368775,2.5290725,2.5301325,465069.00654
69,1641128400000,2.5301325,2.5409875,2.5290825,2.53095,646835.85649
70,1641129300000,2.53095,2.5346225,2.5277025,2.5328275,1016008.5421325
