,time,open,high,low,close,volume
0,1641066300000,176.9425,177.4,176.7625,177.3575,3495689.018225
1,1641067200000,177.3575,177.6325,176.81,177.17,5753167.547375
2,1641068100000,177.17,178.9875,176.8625,178.635,5514829.611025
3,1641069000000,178.635,179.1975,178.07,178.2325,5357250.805075
4,1641069900000,178.2325,178.3775,177.68,177.7525,1526777.473125
5,1641070800000,177.7525,178.8675,177.7525,178.815,1284330.9866
6,1641071700000,178.815,178.815,178.0375,178.2175,1771992.874125
7,1641072600000,178.2175,178.655,177.95,178.2175,1344810.470125
8,1641073500000,178.2175,178.3075,176.155,176.45,5927229.8311
9,1641074400000,176.45,177.105,176.34,176.6425,4346361.3058
10,1641075300000,176.6425,177.355,176.6425,176.86,2446116.87075
11,1641076200000,176.86,177.6475,176.8575,177.375,472194.044475
12,1641077100000,177.375,177.58,177.0325,177.355,522192.792825
13,1641078000000,177.355,177.6875,177.075,177.47,1101376.33235
14,1641078900000,177.47,177.8775,177.31,177.485,1625078.42105
15,1641079800000,177.4725,178.1525,177.385,177.9175,2422985.14345
16,1641080700000,177.9175,179.15,177.8525,179.1125,3462458.47655
17,1641081600000,179.1125,179.37,177.9825,178.1475,4022840.224825
18,1641082500000,178.1475,179.035,177.6125,178.855,4057315.21415
19,1641083400000,178.8625,179.5575,178.835,179.045,2575740.26725
20,1641084300000,179.045,179.445,178.4575,178.5675,3559918.3783
21,1641085200000,178.5675,178.74,178.18,178.2325,1051295.578625
22,1641086100000,178.2525,179.0675,178.2525,178.8275,780679.596125
23,1641087000000,178.8275,178.9775,178.2875,178.45,613031.5052
24,1641087900000,178.45,178.5525,177.8275,177.915,1984992.865025
25,1641088800000,177.915,178.52,177.8175,178.4375,1042914.263725
26,1641089700000,178.445,178.7925,178.285,178.415,1073279.01345
27,1641090600000,178.415,178.6675,178.285,178.3725,970500.4973
28,1641091500000,178.3725,178.4425,178.12,178.34,1028266.779875
29,1641092400000,178.34,178.4375,177.9675,178.0625,550907.158175
30,1641093300000,178.0625,178.5975,178.0,178.5975,660806.652375
31,1641094200000,178.5975,178.8,178.3825,178.435,354086.583175
32,1641095100000,178.435,178.44,176.915,177.68,4157195.765375
33,1641096000000,177.68,178.08,177.66,177.955,325176.781075
34,1641096900000,177.955,177.955,177.4825,177.615,246542.472525
35,1641097800000,177.615,177.94,176.7025,176.925,1241747.4821
36,1641098700000,176.925,176.94,175.1875,175.945,6995209.50115
37,1641099600000,175.945,176.635,175.6775,175.975,1879323.69925
38,1641100500000,175.975,176.5,175.9375,176.3525,1064708.3812
39,1641101400000,176.3525,176.705,176.2125,176.3525,630134.80005
40,1641102300000,176.3525,176.7375,176.0175,176.69,831696.5896
41,1641103200000,176.69,176.7275,176.3375,176.5725,636526.130025
42,1641104100000,176.5725,176.8775,176.3025,176.3025,676213.140425
43,1641105000000,176.3025,176.4625,176.03,176.26,1070917.056275
44,1641105900000,176.26,176.3775,175.89,175.89,417707.410625
45,1641106800000,175.89,175.905,175.6675,175.78,1131941.56735
46,1641107700000,175.78,176.1575,175.7775,175.8775,635467.261525
47,1641108600000,175.8775,176.5175,175.8775,175.9775,664201.5423
48,1641109500000,175.9775,176.005,175.5725,175.8875,685944.683175
49,1641110400000,175.8875,175.8875,174.4025,175.055,3020862.7637
50,1641111300000,175.055,175.8175,174.9925,175.49,957052.2425
51,1641112200000,175.49,175.605,174.89,175.325,1067680.94375
52,1641113100000,175.325,176.03,174.9675,175.11,3331007.155675
53,1641114000000,175.11,175.2725,174.6875,175.16,1420922.17765
54,1641114900000,175.16,176.26,175.0225,175.76,2266808.694575
55,1641115800000,175.76,176.23,175.755,176.0225,394734.00005
56,1641116700000,176.0225,176.03,175.66,175.755,366477.8499
57,1641117600000,175.755,176.0,175.525,176.0,455307.583425
58,1641118500000,176.0,176.0625,175.58,175.735,531035.91185
59,1641119400000,175.735,175.9475,175.555,175.655,307184.28825
60,1641120300000,175.655,175.655,175.215,175.365,410054.12855
61,1641121200000,175.365,175.9025,175.31,175.8325,430917.392525
62,1641122100000,175.8325,176.165,175.79,176.105,527134.092775
63,1641123000000,176.105,176.2775,175.6975,175.7575,696106.372
64,1641123900000,175.7575,175.82,175.54,175.65,244636.932425
65,1641124800000,175.65,175.9475,175.04,175.4975,1369494.35515
66,1641125700000,175.4975,175.94,175.4275,175.905,466712.767225
67,1641126600000,175.905,176.8175,175.865,176.41,2528033.265725
68,1641127500000,176.41,176.6,175.875,175.9825,1052577.193675
69,1641128400000,175.9825,176.09,175.6925,175.6975,709828.074525
70,1641129300000,175.6975,176.1925,175.55,176.145,499494.721575
71,1641130200000,176.145,176.145,175.9,175.9125,307315.14555
72,1641131100000,175.9125,176.24,175.7375,176.01,359565.49165
73,1641132000000,176.01,176.3,175.9575,176.0825,1389820.67755
74,1641132900000,176.0825,176.165,175.61,175.73,489652.812475
75,1641133800000,175.73,175.9825,175.4325,175.4675,937139.085125
76,1641134700000,175.47,175.6575,175.2775,175.4125,617187.7638
77,1641135600000,175.4125,175.9525,175.12,175.93,1256565.020325
78,1641136500000,175.93,175.93,175.5875,175.67,556593.329275
79,1641137400000,175.67,175.7175,175.4025,175.69,562977.039325
80,1641138300000,175.69,176.34,175.68,176.25,795251.827325
81,1641139200000,176.2475,176.99,176.1775,176.9375,3037679.36325
82,1641140100000,176.9375,177.0,176.355,176.4775,994827.616175
83,1641141000000,176.4775,177.3275,176.32,177.28,3115691.3722
84,1641141900000,177.28,178.1925,177.24,177.975,2525025.8157
85,1641142800000,177.9775,178.91,177.7,177.7825,7825557.11795
86,1641143700000,177.7825,177.9625,177.3025,177.9,2222597.764625
87,1641144600000,177.9,178.375,177.335,178.355,2850234.854725
88,1641145500000,178.355,178.5475,177.56,177.75,1455405.312525
89,1641146400000,177.75,177.7525,177.0775,177.265,3121312.962275
90,1641147300000,177.265,177.5375,175.4675,175.7525,4601083.74565
91,1641148200000,175.75,175.7525,174.36,175.3025,5045294.785875
92,1641149100000,175.31,175.9475,175.2825,175.865,1169745.922425
93,1641150000000,175.865,176.4,175.495,175.9675,1199438.24785
94,1641150900000,175.9675,176.13,175.135,175.3125,1127500.951975
95,1641151800000,175.3125,175.63,175.0925,175.3675,868333.993825
96,1641152700000,175.3675,175.59,175.2025,175.365,809732.643075
97,1641153600000,175.2575,175.41,174.715,175.3725,3128461.911225
98,1641154500000,175.3725,175.525,175.2025,175.455,433478.84715
99,1641155400000,175.455,175.6375,175.2,175.5475,586101.378275
100,1641156300000,175.5475,175.835,175.4325,175.7225,511518.970875
101,1641157200000,175.7225,175.9575,175.2375,175.9525,1127638.62635
102,1641158100000,175.9525,176.0775,175.4025,175.565,3179500.74985
103,1641159000000,175.565,176.0275,175.4525,175.9975,541127.651475
104,1641159900000,175.9975,176.135,175.715,175.72,648917.20195
105,1641160800000,175.72,176.0775,175.69,176.0725,456962.01975
106,1641161700000,176.0725,176.31,175.88,176.195,678096.323975
107,1641162600000,176.195,176.6725,176.195,176.6225,1380901.829675
108,1641163500000,176.6225,176.9925,176.48,176.8975,1241162.19895
109,1641164400000,176.8975,177.1125,176.4825,176.825,1109185.87745
110,1641165300000,176.825,176.825,175.835,176.3075,2172072.047975
111,1641166200000,176.3075,176.6275,176.015,176.575,697848.707675
112,1641167100000,176.575,176.6875,176.3075,176.365,381119.08855
113,1641168000000,176.365,176.5,175.4025,175.435,1473536.5809
