,time,open,high,low,close,volume
0,1641168000000,176.365,176.5,175.035,175.35,4246732.160725
1,1641171600000,175.35,175.3725,174.0725,174.7825,5396538.81745
2,1641175200000,174.7825,174.7825,173.26,173.535,6255707.797425
3,1641178800000,173.535,173.745,172.1225,172.835,7915814.4116
4,1641182400000,172.835,173.3125,172.035,172.165,7680964.9413
5,1641186000000,172.165,173.9,172.055,173.55,4850147.914125
6,1641189600000,173.55,173.6225,172.8,173.22,3695990.572
7,1641193200000,173.22,173.28,172.55,173.19,3122341.282875
8,1641196800000,173.19,173.5,172.6675,173.045,4125982.697625
9,1641200400000,173.045,173.4575,172.36,173.22,5832395.507775
10,1641204000000,173.22,174.5575,173.22,174.1025,6627662.864
11,1641207600000,174.1,175.0,174.0675,174.765,5805777.0122
12,1641211200000,174.765,175.065,173.9225,173.9975,4350443.73025
13,1641214800000,173.9975,175.445,173.9925,174.71,4856222.037925
14,1641218400000,174.71,175.9,173.9275,173.96,9463682.971775
15,1641222000000,173.975,174.6175,170.9075,171.01,13572388.43565
16,1641225600000,171.01,171.445,168.9525,170.3,28107015.908525
17,1641229200000,170.3,171.7975,169.9425,170.7,8089080.250575
18,1641232800000,170.7,171.415,170.5175,170.7075,3425786.466025
19,1641236400000,170.7075,170.9075,169.965,169.9725,4003384.865375
20,1641240000000,169.9725,170.09,166.5,168.49,32582509.4115
21,1641243600000,168.5075,169.94,168.03,169.0375,10936838.996525
22,1641247200000,169.0375,170.7175,168.5575,170.1275,8196041.322875
23,1641250800000,170.1275,171.1725,169.5675,170.2375,12120506.185275
24,1641254400000,170.2375,170.505,168.055,168.4325,14943447.961025
25,1641258000000,168.4325,169.57,167.74,167.815,13641995.85055
26,1641261600000,167.815,168.2725,166.8775,167.6875,11852625.755
27,1641265200000,167.6875,168.065,166.94,167.8325,8314495.6488
28,1641268800000,167.8325,168.3075,166.47,166.785,7654140.374075
29,1641272400000,166.785,168.1675,166.5825,167.4875,8695515.462525
30,1641276000000,167.4875,168.1625,167.045,167.9775,6493372.0159
31,1641279600000,167.9775,169.2625,167.5125,169.1475,13303939.917675
32,1641283200000,169.1475,169.67,168.405,168.6925,7875851.472425
33,1641286800000,168.705,169.0,167.51,167.8125,10710780.10265
34,1641290400000,167.7975,170.505,167.35,169.985,25198309.97645
35,1641294000000,169.995,172.525,169.91,171.6875,27354694.2353
36,1641297600000,171.6925,172.18,170.63,171.78,14801147.730575
37,1641301200000,171.78,172.35,170.8,171.6025,10762073.404125
38,1641304800000,171.6025,173.5,171.3025,173.05,10931012.531125
39,1641308400000,173.05,173.9,171.6025,172.2575,24469651.55215
40,1641312000000,172.2575,172.6275,171.0025,171.57,15895914.5451
41,1641315600000,171.57,171.89,170.0625,170.2325,7033647.2245
42,1641319200000,170.2325,170.9325,166.8475,167.55,22152578.367925
43,1641322800000,167.55,169.655,167.1675,168.5825,15889453.484125
44,1641326400000,168.5825,169.5475,168.1625,168.6875,6092979.73935
45,1641330000000,168.6875,169.295,168.245,169.07,4554076.228825
46,1641333600000,169.07,169.2475,168.18,168.9275,6130453.45745
47,1641337200000,168.925,169.0125,167.5475,167.7975,6548557.2149
48,1641340800000,167.7975,169.0,167.1925,168.9625,9640023.547075
49,1641344400000,168.9625,168.97,167.265,167.305,6837417.59925
50,1641348000000,167.305,168.6425,167.2825,168.47,5745134.406825
51,1641351600000,168.47,169.3225,168.435,169.1875,6690837.9864
52,1641355200000,169.1875,169.38,168.29,168.6625,10112723.867425
53,1641358800000,168.6625,169.1075,168.125,169.005,6258551.325075
54,1641362400000,169.005,170.145,168.65,170.13,5075725.440825
55,1641366000000,170.13,170.4925,169.47,169.92,4360898.99945
56,1641369600000,169.92,170.1325,169.0775,169.8225,8870374.665575
57,1641373200000,169.83,170.895,169.6325,170.855,8230744.141275
58,1641376800000,170.855,171.3475,169.675,170.695,8638183.527475
59,1641380400000,170.695,170.84,167.9775,168.4875,12003242.71625
60,1641384000000,168.4875,168.98,167.5,168.7225,11285818.97795
61,1641387600000,168.7225,169.3225,168.0175,168.5775,8423191.799725
62,1641391200000,168.5775,169.0225,167.4225,168.29,12373843.875575
63,1641394800000,168.29,169.335,167.945,168.335,13582885.84785
64,1641398400000,168.335,168.65,167.5625,167.72,8049037.51325
65,1641402000000,167.72,168.1425,163.085,163.5875,30013290.02695
66,1641405600000,163.5875,165.4725,162.52,163.8725,37242373.9062
67,1641409200000,163.8725,164.3675,157.61,158.65,51178374.253425
68,1641412800000,158.6325,159.8,155.0,156.2925,40843193.0711
69,1641416400000,156.33,158.3025,153.325,153.385,49805472.99355
70,1641420000000,153.385,154.2875,144.4225,151.5575,71968067.969875
71,1641423600000,151.5575,156.065,151.08,154.455,27594042.661825
72,1641427200000,154.455,154.7725,152.6975,154.31,17602071.910975
73,1641430800000,154.31,154.3725,151.49,152.455,15005887.0374
74,1641434400000,152.455,152.66,150.4625,150.8325,14125468.36215
75,1641438000000,150.8325,151.35,147.9025,148.025,17881695.1304
76,1641441600000,148.01,150.6225,146.985,149.3375,34753745.6108
77,1641445200000,149.3425,150.865,148.4125,149.2375,16335375.339225
78,1641448800000,149.2375,150.13,148.4275,149.305,16313629.51175
79,1641452400000,149.33,150.7425,148.7375,150.65,13466126.99115
80,1641456000000,150.65,150.9475,148.66,149.595,15434931.98395
81,1641459600000,149.595,149.705,146.56,146.9575,21400222.39985
82,1641463200000,146.96,148.73,146.2,148.31,15954706.4881
83,1641466800000,148.31,148.7275,146.6375,147.4825,12889428.4635
84,1641470400000,147.4825,149.0,146.225,148.9775,17370594.588025
85,1641474000000,148.9775,149.8625,148.2,149.4525,19261821.859625
86,1641477600000,149.4525,151.0,147.9525,148.4675,22154472.568775
87,1641481200000,148.475,150.04,147.1475,149.655,18156141.478475
88,1641484800000,149.655,150.5425,148.8375,150.3725,16159442.71655
89,1641488400000,150.3725,152.685,150.2225,152.2025,19340780.269325
90,1641492000000,152.2025,154.32,151.8875,154.2,16388532.6587
91,1641495600000,154.205,154.295,153.3525,153.7775,8978632.7739
92,1641499200000,153.7775,153.8675,151.11,151.685,10607948.1812
93,1641502800000,151.685,152.1425,151.0125,151.0425,8420516.684925
94,1641506400000,151.0425,152.0925,150.5,151.9525,4143003.2479
95,1641510000000,151.9525,152.025,150.0425,150.24,6103460.413075
96,1641513600000,150.24,150.665,145.545,145.95,40917224.045225
97,1641517200000,145.9575,147.8,145.885,147.2225,14323850.478575
98,1641520800000,147.2225,147.49,144.3225,144.8325,32812549.535325
99,1641524400000,144.8325,145.095,137.58,139.65,103853283.047925
100,1641528000000,139.655,140.935,135.405,140.23,74621944.170325
101,1641531600000,140.25,141.075,138.7575,139.9725,33554031.805075
102,1641535200000,139.9725,140.145,136.2125,137.0925,27236002.293375
103,1641538800000,137.0925,139.2975,134.4825,138.895,36142832.2564
104,1641542400000,138.895,144.0,138.2075,139.5375,37718576.14735
105,1641546000000,139.5375,142.165,139.22,141.0525,18477738.60375
106,1641549600000,141.0525,141.49,139.035,139.0425,19774081.715625
107,1641553200000,139.0425,140.235,138.3075,139.09,13704743.729675
108,1641556800000,139.09,141.8275,139.09,140.8,12741989.74955
109,1641560400000,140.8,142.75,135.6425,137.89,41033831.06005
110,1641564000000,137.89,140.6025,137.2525,139.845,20928781.3412
111,1641567600000,139.845,139.9575,133.0,135.9275,38425672.89445
112,1641571200000,135.9275,140.0,134.375,139.4,44214835.098575
113,1641574800000,139.4,140.2,137.9975,140.135,12021608.839825
114,1641578400000,140.135,140.3725,138.3025,139.4225,8295918.51505
115,1641582000000,139.4225,140.46,138.1525,140.23,13953138.982875
116,1641585600000,140.23,140.9375,138.5825,139.7275,15478069.1935
117,1641589200000,139.7275,140.4725,139.305,139.56,6480299.719025
118,1641592800000,139.56,139.6125,136.03,136.755,14110242.904725
119,1641596400000,136.7525,137.4,135.9275,136.375,11379896.1525
120,1641600000000,136.3875,140.055,135.785,140.0,21499448.389925
121,1641603600000,140.0,141.5475,139.6275,139.8225,14218095.602775
122,1641607200000,139.8225,140.135,138.3,139.8325,8417489.436925
123,1641610800000,139.8325,139.845,138.19,139.3625,7064543.4758
124,1641614400000,139.3625,141.87,139.2875,141.0625,9538120.37695
125,1641618000000,141.0625,142.0,140.605,141.79,10062715.91975
126,1641621600000,141.785,143.7475,140.37,143.595,16696804.61355
127,1641625200000,143.595,144.5625,142.4225,144.2725,9941820.10235
128,1641628800000,144.2725,146.3225,144.1325,145.645,22921807.199025
129,1641632400000,145.645,146.945,145.6175,146.8175,14672044.3146
130,1641636000000,146.8175,147.975,145.68,146.55,22585839.934225
131,1641639600000,146.55,146.645,144.64,146.3675,21718974.80675
132,1641643200000,146.3675,146.7175,144.15,145.18,16183655.5487
133,1641646800000,145.18,145.94,144.345,145.4675,11855943.0955
134,1641650400000,145.4675,145.6525,143.15,143.4775,21098765.424925
135,1641654000000,143.5,144.6,142.15,144.1325,22682664.236775
136,1641657600000,144.1325,146.08,139.885,140.7075,32450369.087825
137,1641661200000,140.7075,141.19,135.0,135.37,43147376.538
138,1641664800000,135.37,138.355,132.895,133.5675,58082319.56885
139,1641668400000,133.59,136.285,133.0425,135.29,46085420.962825
140,1641672000000,135.26,139.0,134.585,137.5725,47761903.538375
141,1641675600000,137.595,145.9975,137.245,144.355,59071783.156725
142,1641679200000,144.355,146.75,143.5275,144.3125,37909429.787625
143,1641682800000,144.3125,144.555,141.57,142.1025,24313726.486425
144,1641686400000,142.15,145.6225,140.7275,144.5775,33608731.3989
145,1641690000000,144.5775,145.365,141.735,142.63,31508449.735775
146,1641693600000,142.6375,144.465,141.84,143.8925,20870318.0603
147,1641697200000,143.8925,144.1525,141.39,141.8975,12878341.56625
148,1641700800000,141.8725,143.6325,141.7425,143.5025,7357779.16
149,1641704400000,143.5075,143.6975,140.695,141.105,10737137.82115
150,1641708000000,141.1025,142.1475,140.48,141.5675,9111486.662025
151,1641711600000,141.5675,142.0175,140.05,140.3625,7532803.2639
152,1641715200000,140.365,141.335,139.0,139.28,17278112.227225
153,1641718800000,139.28,139.925,138.4275,138.7475,14327961.4591
154,1641722400000,138.7375,139.9875,137.8475,139.625,14182429.254975
155,1641726000000,139.625,141.0,139.6125,140.555,9747525.778225
156,1641729600000,140.555,140.855,139.1425,139.9425,7906166.78465
157,1641733200000,139.9425,140.68,138.395,138.415,7532604.850025
158,1641736800000,138.415,140.4375,138.4,139.76,8223637.28805
159,1641740400000,139.7525,140.215,137.94,140.0575,11542763.245825
160,1641744000000,140.0575,143.41,139.615,143.395,19081433.444275
161,1641747600000,143.3975,144.765,142.375,144.565,24123932.404
162,1641751200000,144.565,145.0,143.0725,143.3225,19079041.895725
163,1641754800000,143.3225,145.74,142.91,145.295,25206780.11095
164,1641758400000,145.295,145.68,143.62,143.6425,9331820.118575
165,1641762000000,143.6425,143.9425,142.075,142.25,11103475.808325
166,1641765600000,142.25,142.575,140.835,141.4925,11465800.462475
167,1641769200000,141.4925,141.7625,140.0,140.7725,20696821.73675
168,1641772800000,140.7725,142.5,140.12,140.5025,13695319.75665
169,1641776400000,140.5025,141.355,139.91,140.285,7772534.881625
170,1641780000000,140.285,141.4275,138.8175,140.9775,9631204.109225
171,1641783600000,140.9775,140.9825,139.8475,140.5975,5442917.80915
172,1641787200000,140.5975,143.5325,140.2775,143.095,13897640.3735
173,1641790800000,143.095,143.3325,142.265,142.9475,5845504.059375
174,1641794400000,142.9475,143.2825,142.1225,142.3225,8305776.134875
175,1641798000000,142.3225,143.795,142.225,143.06,8663254.116575
176,1641801600000,143.06,143.48,141.1325,141.5675,8346820.04245
177,1641805200000,141.5675,142.145,141.1425,141.3075,4723095.38885
178,1641808800000,141.3075,142.175,140.7025,140.8475,5792084.925425
179,1641812400000,140.8475,140.935,138.925,139.42,14936356.944
180,1641816000000,139.42,139.7275,135.3625,135.515,38367412.3896
181,1641819600000,135.515,136.7425,135.0025,135.3625,19884194.457175
182,1641823200000,135.3675,135.585,129.0,133.28,93129010.784875
183,1641826800000,133.28,135.6,130.66,133.145,47546376.267
184,1641830400000,133.145,137.3425,132.5975,136.7875,49654651.716075
185,1641834000000,136.7875,137.605,130.6975,132.8925,54635919.999675
186,1641837600000,132.8925,134.685,132.6275,133.72,23846221.744
187,1641841200000,133.72,134.65,132.3375,132.6325,17059942.834275
188,1641844800000,132.6325,135.575,131.84,135.245,28480985.339875
189,1641848400000,135.245,135.6075,134.5375,135.15,15293409.69465
190,1641852000000,135.15,135.845,134.4575,134.915,14420341.831375
191,1641855600000,134.915,136.03,134.3525,135.8075,8507556.67425
192,1641859200000,135.8075,136.065,135.03,135.0575,8302651.0048
193,1641862800000,135.0575,135.7,133.595,135.66,9542628.1996
194,1641866400000,135.66,137.5825,135.41,136.9375,20337698.79025
195,1641870000000,136.9375,137.46,136.04,137.2575,7195866.875825
196,1641873600000,137.2575,137.8475,136.0225,136.57,7024703.5663
197,1641877200000,136.5675,136.575,135.025,135.63,7806843.90655
198,1641880800000,135.63,136.7375,135.435,136.7375,7707385.4434
199,1641884400000,136.7375,137.325,136.21,137.2325,7748122.48195
200,1641888000000,137.2325,138.3425,136.1075,136.4,16247225.74875
201,1641891600000,136.4,136.95,135.2625,136.055,11781008.759025
202,1641895200000,136.055,136.6625,134.26,134.6375,8528122.87975
203,1641898800000,134.625,136.185,134.4375,135.3625,8115435.19745
204,1641902400000,135.36,137.0,135.02,136.4675,7370756.7426
205,1641906000000,136.4675,137.0,135.67,136.85,12614175.537125
206,1641909600000,136.85,137.74,135.035,136.42,19467954.5866
207,1641913200000,136.42,138.005,135.7925,137.085,16378254.171775
208,1641916800000,137.085,141.44,136.915,140.5325,38546789.363075
209,1641920400000,140.565,143.105,140.01,141.6875,56163878.518575
210,1641924000000,141.6875,143.5125,140.8525,142.38,19289813.37495
211,1641927600000,142.38,142.855,141.5025,142.445,11324879.853225
212,1641931200000,142.445,143.1425,141.5975,141.9825,6071389.9818
213,1641934800000,141.9825,142.18,140.92,141.015,5047851.596425
214,1641938400000,141.015,141.2625,140.125,140.2625,7026466.288975
215,1641942000000,140.2625,140.935,139.525,140.21,12538581.76725
216,1641945600000,140.21,141.585,139.825,139.98,13171712.525075
217,1641949200000,139.98,140.2975,139.1225,139.925,8075502.143225
218,1641952800000,139.925,140.865,139.885,140.7625,6165321.116525
219,1641956400000,140.7625,141.095,139.915,140.12,4964280.915575
220,1641960000000,140.12,140.3875,139.625,140.1125,4815046.961025
221,1641963600000,140.1125,140.36,139.6525,140.305,5882580.0639
222,1641967200000,140.305,140.8825,139.3875,139.745,12852851.98475
223,1641970800000,139.745,139.8675,138.21,138.96,20006113.103125
224,1641974400000,138.9625,140.315,138.72,139.89,10213696.174925
225,1641978000000,139.89,144.33,139.57,141.95,40177130.117475
226,1641981600000,141.95,142.695,140.5425,140.73,10832725.5774
227,1641985200000,140.73,142.8125,140.015,141.415,22675940.86365
228,1641988800000,141.415,143.8025,141.235,143.6225,26235866.85715
229,1641992400000,143.6225,147.7225,142.62,147.2175,51111889.000275
230,1641996000000,147.2125,147.605,145.67,147.115,25479579.1545
231,1641999600000,147.1525,148.745,146.355,147.795,39894274.03205
232,1642003200000,147.805,152.2275,147.6525,152.19,53839220.121125
233,1642006800000,152.1875,152.225,150.3125,151.1575,17603662.96725
234,1642010400000,151.16,151.46,150.315,150.68,11844266.73855
235,1642014000000,150.68,153.3,149.0,152.7825,45981215.415175
236,1642017600000,152.7825,153.3475,151.2925,151.92,13525616.175975
237,1642021200000,151.92,153.45,151.64,151.87,15417161.694525
238,1642024800000,151.87,152.7775,151.63,152.14,4460568.05855
239,1642028400000,152.14,152.685,151.37,151.495,7483012.907175
240,1642032000000,151.495,152.3075,150.5425,150.8225,8953289.21935
241,1642035600000,150.8225,151.2325,149.275,149.4975,9909943.222425
242,1642039200000,149.4975,150.21,149.2575,149.3725,5959855.982075
243,1642042800000,149.3725,149.6925,148.2775,148.6925,13161513.3573
244,1642046400000,148.6925,149.7175,148.6475,149.1625,11270355.85215
245,1642050000000,149.1625,150.01,148.7425,149.5725,7830749.253325
246,1642053600000,149.5825,151.105,149.39,150.4775,7492848.0808
247,1642057200000,150.4775,151.6375,150.0575,151.4225,6702516.6364
248,1642060800000,151.42,152.655,151.3075,151.9175,9993221.236625
249,1642064400000,151.9175,152.275,151.03,151.8875,5484913.598775
250,1642068000000,151.865,152.875,151.76,151.81,6424516.97125
251,1642071600000,151.81,152.05,149.965,150.4025,9074964.245575
252,1642075200000,150.4025,153.99,150.3125,153.8,11259863.809325
253,1642078800000,153.7975,155.0,153.6075,154.95,32837430.005
254,1642082400000,154.95,157.9825,154.59,157.1875,37933739.879325
255,1642086000000,157.1875,157.42,151.75,155.02,51424033.5383
256,1642089600000,155.02,155.3775,152.45,152.4575,23994055.559625
257,1642093200000,152.4825,153.2475,148.54,150.7275,36144371.9798
258,1642096800000,150.7275,151.8,148.63,149.7475,20228989.554575
259,1642100400000,149.7475,151.55,146.5725,147.74,35675503.68205
260,1642104000000,147.735,148.41,145.61,148.4075,25250983.88035
261,1642107600000,148.6375,150.0425,147.93,149.015,13512723.66985
262,1642111200000,149.015,149.47,146.3275,146.71,7694904.438675
263,1642114800000,146.7075,147.605,145.57,146.14,11175723.113975
264,1642118400000,146.1575,148.0475,144.5,147.7275,20116968.189425
265,1642122000000,147.7275,148.0,146.705,147.4175,9138132.959975
266,1642125600000,147.4175,147.9275,145.71,147.835,7971596.140425
267,1642129200000,147.835,147.985,146.7525,147.495,5938524.971125
268,1642132800000,147.495,149.0,147.4225,147.865,6753883.714875
269,1642136400000,147.865,149.4575,147.2125,149.355,5968567.47855
270,1642140000000,149.3675,150.7025,148.8325,149.615,14665796.3854
271,1642143600000,149.625,149.6675,146.655,147.725,26356469.535025
272,1642147200000,147.725,147.81,145.1275,146.17,35075416.21585
273,1642150800000,146.155,147.3775,146.1325,146.555,5888727.0889
274,1642154400000,146.555,147.0625,142.5075,143.165,25194894.185625
275,1642158000000,143.165,143.8325,142.0075,143.4625,26793275.264675
276,1642161600000,143.4625,144.9575,142.075,143.81,11131814.0065
277,1642165200000,143.81,145.305,142.785,143.395,17787260.444075
278,1642168800000,143.395,146.965,143.0025,146.5325,21268139.3669
279,1642172400000,146.5325,148.3825,145.6875,147.3425,21126758.8046
280,1642176000000,147.3425,148.1575,145.5525,147.8425,13701411.1341
281,1642179600000,147.8425,148.62,145.7325,145.91,9453016.4322
282,1642183200000,145.91,147.2325,145.65,146.935,4276760.9929
283,1642186800000,146.935,149.8,146.7575,148.29,14976270.05095
284,1642190400000,148.29,148.98,146.65,146.665,6341987.298375
285,1642194000000,146.665,147.685,146.335,147.0875,8164157.6916
286,1642197600000,147.0875,147.645,146.225,147.0375,8216811.42095
287,1642201200000,147.0375,147.4175,145.42,146.185,9370276.884175
288,1642204800000,146.185,146.5425,145.0975,145.81,6747969.336025
289,1642208400000,145.81,146.99,145.5,146.4875,4203461.50445
290,1642212000000,146.4875,147.355,146.0,147.115,4389903.973225
